"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
814 0.413071870048927 3 10 "GO:0000015" "phosphopyruvate hydratase complex" 0.863193433908619
1277 0.0848903719620822 2 18 "GO:0000109" "nucleotide-excision repair complex" 0.629428628997529
-302 0.785836192333858 2 8 "GO:0000118" "histone deacetylase complex" 0.973710110060069
1418 0.0712680699942225 2 16 "GO:0000123" "histone acetyltransferase complex" 0.62130382977309
568 0.531688164544204 3 12 "GO:0000136;GO:0031501" "alpha-1,6-mannosyltransferase complex" 0.898857651421876
-171 0.87755359975284 2 8 "GO:0000138" "Golgi trans cisterna" 0.978657464361175
-134 0.285226651879731 4 669 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.834757838084491
404 0.529657497612698 2 24 "GO:0000148" "1,3-beta-D-glucan synthase complex" 0.898857651421876
-117 0.660449255378276 2 140 "GO:0000151" "ubiquitin ligase complex" 0.926794704463243
-524 0.362056888618858 3 30 "GO:0000152" "nuclear ubiquitin ligase complex" 0.856758049263334
-542 0.62547341214442 3 8 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.91774269468851
432 0.648372955642739 2 11 "GO:0000159" "protein phosphatase type 2A complex" 0.926794704463243
-2170 0.122606502717237 2 5 "GO:0000164" "protein phosphatase type 1 complex" 0.677200402858758
1014 0.263976569829526 3 12 "GO:0000176" "nuclear exosome (RNase complex)" 0.817067184220426
1557 0.224835245521334 4 6 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.788950464740195
802 0.254283834093434 3 20 "GO:0000178;GO:1905354" "exosome (RNase complex)" 0.817067184220426
178 0.881082330617303 3 7 "GO:0000220" "vacuolar proton-transporting V-type ATPase, V0 domain" 0.978657464361175
235 0.566508825709648 2 59 "GO:0000228" "nuclear chromosome" 0.898857651421876
-776 0.0585061235658575 2 59 "GO:0000242" "pericentriolar material" 0.606616123288101
-1256 0.371517756474942 2 5 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.856758049263334
-569 0.313783572684006 2 31 "GO:0000324;GO:0000322" "storage vacuole" 0.838780650756781
-371 0.395672264475406 2 52 "GO:0000325" "plant-type vacuole" 0.856758049263334
-121 0.743937458807714 2 73 "GO:0000329" "fungal-type vacuole membrane" 0.964182101217892
-234 0.765607285787274 5 16 "GO:0000331" "contractile vacuole" 0.968894873448135
1453 0.190968507681841 4 8 "GO:0000347" "THO complex" 0.737662666927896
-2472 0.0090907980188039 2 11 "GO:0000407" "phagophore assembly site" 0.298481201617395
-3235 0.0116869422150048 4 6 "GO:0000421;GO:0033110" "autophagosome membrane" 0.315773917181175
81 0.834182559739626 4 66 "GO:0000502;GO:1905369;GO:1905368" "peptidase complex" 0.978657464361175
-263 0.55081114967048 5 51 "GO:0000775" "chromosome, centromeric region" 0.898857651421876
-620 0.172153637982159 2 48 "GO:0000777;GO:0000776" "kinetochore" 0.728927867600409
-848 0.33066108755309 2 13 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.853079796975058
-116 0.756391983745574 2 71 "GO:0000781" "chromosome, telomeric region" 0.968894873448135
-226 0.675605087514771 5 34 "GO:0000784" "nuclear chromosome, telomeric region" 0.934015102760505
-85 0.751671746453205 4 139 "GO:0000785" "chromatin" 0.967838784648898
-1856 0.0271294204572805 3 14 "GO:0000786" "nucleosome" 0.471573161478023
